scenario,horizon_days,warmup_days,forecaster,reward_mode,ga_mode,replication,policy,total_cost,holding_cost,stockout_cost,ordering_cost,routing_cost,fill_rate,stockout_rate
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,21,STATIC,26569113.838711776,12309.926749869252,26502831.479596782,30820.891106855463,23151.54125826633,0.4395067015648367,0.6367521367521367
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,21,DYNAMIC,24995554.446958046,91495.11774859855,24825299.122954,52086.65372063533,26673.55253481491,0.4966544199857077,0.5
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,21,DYN_FC,26486808.35064204,14335456.494895242,10959240.13643684,1012154.8875568788,179956.83175308007,0.763869946760861,0.2393162393162393
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,21,BASESTOCK,26658975.6512991,14196957.739872657,11275671.98704819,1005853.848352061,180492.0760261957,0.7515998846655776,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,21,AI,14678450.20216482,3281762.70418786,11006277.622840248,329176.7751319031,61233.10000480699,0.757033348591291,0.2435897435897435
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,22,STATIC,26737537.866560265,34718.788390040754,26646713.63239128,32842.25333428182,23263.19244466574,0.4387166649829492,0.5811965811965812
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,22,DYNAMIC,22197606.45997031,131113.0987845978,21988415.72509561,51533.21845142885,26544.41763866673,0.5052478378086662,0.4957264957264957
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,22,DYN_FC,25575216.037588496,13294824.291012386,11053041.20820068,1046250.5653899894,181099.97298543763,0.7372827442020269,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,22,BASESTOCK,26189949.04906474,13557791.9757243,11368884.429149026,1069623.3107404646,193649.3334509514,0.734897357200295,0.2521367521367521
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,22,AI,12847499.62367769,1163622.772770492,11536836.411755929,122386.23690801529,24654.2022432556,0.7275160680045085,0.2564102564102564
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,23,STATIC,21669491.84841068,26174.957405181613,21588505.97270516,31500.744567846632,23310.173732497507,0.4551655179212671,0.6068376068376068
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,23,DYNAMIC,19347064.650022183,123239.13337326037,19147669.021432877,49099.86098598845,27056.63423006397,0.5067914304915941,0.5128205128205128
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,23,DYN_FC,23386868.72659065,12610183.069700548,9655707.931701807,950375.6908768571,170602.0343114351,0.7562476240220047,0.235042735042735
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,23,BASESTOCK,23175655.640540328,12437242.718525112,9640919.912267853,932356.6832604128,165136.3264869534,0.7583568088446256,0.2307692307692307
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,23,AI,12758146.986652412,1980189.487088325,10538337.888731005,202570.32315809425,37049.28767499168,0.7447872453490334,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,24,STATIC,24488717.98674608,53998.70347963947,24377466.05051725,33480.99952636475,23772.23322281837,0.4400012465790199,0.5683760683760684
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,24,DYNAMIC,24720744.7819504,197644.767834113,24443595.96668668,52397.87629427396,27106.171135330587,0.4768004191922229,0.5170940170940171
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,24,DYN_FC,27062823.194019515,14105128.778183077,11654035.90543545,1102515.1598278831,201143.3505731031,0.7385296233935015,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,24,BASESTOCK,26425637.036560036,13516355.081389789,11654035.90543545,1066710.8799960834,188535.1697387135,0.7385296233935015,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,24,AI,12750581.46191223,824913.7071477051,11825243.615231706,84404.3013158726,16019.838216947695,0.7337712253798433,0.2564102564102564
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,25,STATIC,24178181.74464796,10509.769497187448,24113029.65618865,31072.15050982868,23570.168452293357,0.4416877149031007,0.6068376068376068
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,25,DYNAMIC,21567495.395148948,72913.23441281382,21418376.695210744,49431.45853409826,26774.006991289592,0.4895643558737391,0.5213675213675214
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,25,DYN_FC,22984691.534709807,12200248.384042667,9662976.68372691,952512.6499274347,168953.81701279443,0.7642859093422292,0.2393162393162393
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,25,BASESTOCK,23690150.64577573,12345654.029575069,10204735.146788009,965165.797064982,174595.67234767476,0.7589190081869669,0.2435897435897435
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,25,AI,12562363.6915796,1333401.814269657,11054736.1647156,147707.52730277707,26518.185291567846,0.7329560544779569,0.2649572649572649
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,26,STATIC,24473641.933815096,12439.641763966418,24405007.226217546,32039.242567770325,24155.823265813076,0.4276680454535435,0.6410256410256411
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,26,DYNAMIC,23066583.156287678,82481.7127831193,22904368.230082914,52778.28115268146,26954.932268958997,0.4627673114660623,0.5128205128205128
